point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
178,1743680385865957,57.901199,-42.853298,44.438000,57.901199,42.218300,110.800003,27.718000,-21.052999,21.688999,27.785000,20.510000,42.893002,191.000000,-2721.000000,167.000000,493.000000,321.000000,793.000000
181,1743680385871439,59.114601,-43.717499,45.337898,59.114601,43.068199,113.500000,28.429001,-21.389000,22.025999,28.259001,21.018000,44.206001,2356.000000,-3915.000000,1459.000000,1095.000000,907.000000,900.000000
184,1743680385877937,60.328098,-44.581699,46.237801,60.328098,43.918201,116.199997,29.125999,-22.084999,22.806000,29.194000,21.527000,45.443001,1578.000000,-3765.000000,1037.000000,625.000000,1065.000000,873.000000
186,1743680385882304,61.137100,-45.157799,46.837700,61.137100,44.484798,118.000000,29.663000,-22.445000,23.190001,29.684999,21.989000,46.321999,385.000000,-2842.000000,-107.000000,194.000000,422.000000,802.000000
188,1743680385887741,61.946098,-45.733898,47.437599,61.946098,45.051399,119.800003,30.433001,-22.971001,23.726000,30.417000,22.482000,47.667999,66.000000,-2500.000000,-320.000000,422.000000,318.000000,998.000000
190,1743680385892079,62.755100,-46.310001,48.037601,62.755100,45.618099,121.599998,31.225000,-23.497000,24.082001,30.889000,22.893999,49.030998,166.000000,-2835.000000,-69.000000,434.000000,303.000000,721.000000
193,1743680385897592,63.968601,-47.174198,48.937500,63.968601,46.467999,124.300003,31.716000,-23.886999,24.638000,31.611000,23.254999,49.926998,-24.000000,-3207.000000,370.000000,266.000000,610.000000,885.000000
196,1743680385904207,65.182098,-48.038399,49.837399,65.182098,47.318001,127.000000,32.411999,-24.219000,25.000000,32.137001,23.796000,51.278000,1953.000000,-3982.000000,1529.000000,1043.000000,875.000000,855.000000
198,1743680385908645,65.990997,-48.614498,50.437302,65.990997,47.884602,128.800003,32.894001,-24.763000,25.552000,32.901001,24.070999,52.180000,2388.000000,-3766.000000,1617.000000,861.000000,779.000000,926.000000
200,1743680385913093,66.800003,-49.190701,51.037201,66.800003,48.451199,130.600006,33.633999,-25.139000,25.929001,33.403000,24.715000,53.410000,418.000000,-3212.000000,345.000000,204.000000,482.000000,704.000000
202,1743680385918590,67.609001,-49.766800,51.637199,67.609001,49.017799,132.399994,34.148998,-25.646000,26.500000,34.097000,25.202000,54.807999,157.000000,-2732.000000,-181.000000,388.000000,245.000000,823.000000
205,1743680385922982,68.822502,-50.631001,52.537102,68.822502,49.867802,135.100006,34.910999,-26.180000,27.037001,34.867001,25.736000,56.144001,59.000000,-2655.000000,-21.000000,375.000000,412.000000,847.000000
208,1743680385930524,70.036003,-51.495201,53.437000,70.036003,50.717701,137.800003,35.638000,-26.709999,27.632999,35.562000,26.094999,57.022999,206.000000,-2819.000000,1091.000000,599.000000,694.000000,874.000000
210,1743680385933776,70.845001,-52.071301,54.036900,70.845001,51.284401,139.600006,36.106998,-27.073000,28.024000,36.056999,26.622000,58.345001,3024.000000,-4609.000000,2501.000000,1693.000000,1329.000000,922.000000
212,1743680385939233,71.653999,-52.647400,54.636799,71.653999,51.851002,141.399994,36.942001,-27.655001,28.552000,36.923000,26.992001,59.282001,2332.000000,-4011.000000,561.000000,715.000000,682.000000,868.000000
215,1743680385944668,72.867401,-53.511600,55.536701,72.867401,52.700901,144.100006,37.754002,-28.179001,28.961000,37.437000,27.490000,60.504002,271.000000,-2909.000000,305.000000,97.000000,417.000000,822.000000
217,1743680385949031,73.676399,-54.087700,56.136700,73.676399,53.267601,145.899994,38.270000,-28.611000,29.591000,38.224998,28.114000,61.806000,110.000000,-2751.000000,294.000000,418.000000,627.000000,888.000000
220,1743680385955499,74.889900,-54.951900,57.036598,74.889900,54.117500,148.600006,38.816002,-28.938000,29.990000,38.820000,28.568001,62.744999,68.000000,-2715.000000,32.000000,508.000000,346.000000,751.000000
222,1743680385959847,75.698898,-55.528000,57.636501,75.698898,54.684101,150.399994,39.638000,-29.509001,30.561001,39.505001,29.089001,64.030998,-443.000000,-2527.000000,-580.000000,338.000000,191.000000,817.000000
224,1743680385965328,76.507896,-56.104099,58.236401,76.507896,55.250801,152.199997,40.351002,-30.098000,31.112000,40.282001,29.349001,64.992996,1051.000000,-4105.000000,1611.000000,1183.000000,811.000000,860.000000
227,1743680385970745,77.721397,-56.968300,59.136299,77.721397,56.100700,154.899994,41.053001,-30.688000,31.643999,41.102001,29.856001,66.306999,2594.000000,-3461.000000,2056.000000,675.000000,1312.000000,889.000000
229,1743680385975131,78.530403,-57.544498,59.736301,78.530403,56.667301,156.699997,41.661999,-31.094000,32.113998,41.646000,30.503000,67.656998,1207.000000,-2560.000000,1019.000000,380.000000,957.000000,883.000000
232,1743680385981683,79.743797,-58.408600,60.636200,79.743797,57.517300,159.399994,42.486000,-31.665001,32.735001,42.431000,30.969999,68.542000,40.000000,-2129.000000,197.000000,294.000000,700.000000,868.000000
234,1743680385986115,80.552803,-58.984798,61.236099,80.552803,58.083900,161.199997,43.021000,-32.042999,33.112000,42.964001,31.431000,69.806999,-257.000000,-2049.000000,-299.000000,257.000000,172.000000,823.000000
236,1743680385991591,81.361801,-59.560902,61.835999,81.361801,58.650501,163.000000,43.980999,-32.764999,33.777000,43.647999,31.896999,70.912003,-313.000000,-2240.000000,188.000000,491.000000,789.000000,946.000000
238,1743680385996043,82.170799,-60.137001,62.436001,82.170799,59.217201,164.800003,45.271000,-33.625999,34.591000,44.862000,32.764999,73.158997,1342.000000,-2639.000000,2150.000000,1059.000000,909.000000,879.000000
241,1743680386001560,83.384300,-61.001202,63.335899,83.384300,60.067101,167.500000,45.271000,-33.625999,34.591000,44.862000,32.764999,73.158997,1342.000000,-2639.000000,2150.000000,1059.000000,909.000000,879.000000
244,1743680386008204,84.597801,-61.865398,64.235802,84.597801,60.917099,170.199997,46.513000,-34.597000,35.723000,46.237999,33.750999,75.386002,-87.000000,-2159.000000,12.000000,531.000000,161.000000,837.000000
246,1743680386012590,85.406700,-62.441502,64.835701,85.406700,61.483700,172.000000,46.513000,-34.597000,35.723000,46.237999,33.750999,75.386002,-87.000000,-2159.000000,12.000000,531.000000,161.000000,837.000000
248,1743680386016901,86.215698,-63.017601,65.435600,86.215698,62.050301,173.800003,47.918999,-35.560001,36.782001,47.636002,34.685001,77.764999,1756.000000,-2988.000000,2282.000000,1112.000000,1439.000000,930.000000
251,1743680386022287,87.429199,-63.881802,66.335503,87.429199,62.900299,176.500000,48.485001,-35.937000,37.194000,48.345001,35.088001,78.703003,1238.000000,-2742.000000,1266.000000,415.000000,993.000000,778.000000
