point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
71,1743685861076057,14.620300,-12.030700,12.341500,14.620300,11.903600,17.833300,11.520000,-9.695000,9.905000,11.435000,9.461000,13.198000,688.000000,-2987.000000,14.000000,474.000000,280.000000,854.000000
72,1743685861080476,15.024800,-12.318700,12.641500,15.024800,12.186900,18.489500,11.848000,-9.970000,10.176000,11.821000,9.857000,13.985000,818.000000,-3055.000000,191.000000,397.000000,309.000000,772.000000
73,1743685861085991,15.429300,-12.606800,12.941400,15.429300,12.470300,19.157900,12.138000,-10.174000,10.398000,12.108000,10.139000,14.591000,716.000000,-2993.000000,162.000000,339.000000,321.000000,758.000000
74,1743685861090485,15.833800,-12.894900,13.241400,15.833800,12.753600,19.838200,12.825000,-10.614000,10.862000,12.674000,10.432000,15.154000,642.000000,-3321.000000,278.000000,510.000000,350.000000,827.000000
75,1743685861096064,16.238300,-13.182900,13.541400,16.238300,13.036900,20.530001,13.216000,-10.891000,11.127000,13.099000,10.715000,15.770000,832.000000,-3126.000000,-12.000000,379.000000,325.000000,903.000000
75,1743685861100515,16.238300,-13.182900,13.541400,16.238300,13.036900,20.530001,13.592000,-11.173000,11.428000,13.514000,10.946000,16.318001,750.000000,-3323.000000,-36.000000,71.000000,352.000000,919.000000
77,1743685861106115,17.047300,-13.759100,14.141300,17.047300,13.603500,21.947100,13.941000,-11.447000,11.730000,13.914000,11.199000,16.941999,608.000000,-3331.000000,-23.000000,277.000000,372.000000,850.000000
77,1743685861110597,17.047300,-13.759100,14.141300,17.047300,13.603500,21.947100,14.352000,-11.688000,12.023000,14.290000,11.548000,17.860001,611.000000,-3056.000000,-136.000000,298.000000,160.000000,715.000000
78,1743685861116255,17.451799,-14.047100,14.441300,17.451799,13.886800,22.671700,14.757000,-11.972000,12.303000,14.661000,11.815000,18.455000,421.000000,-2927.000000,-151.000000,564.000000,362.000000,767.000000
79,1743685861120673,17.856300,-14.335200,14.741200,17.856300,14.170100,23.406700,15.242000,-12.361000,12.674000,15.161000,12.089000,19.127001,557.000000,-3292.000000,162.000000,500.000000,260.000000,744.000000
80,1743685861126217,18.260799,-14.623200,15.041200,18.260799,14.453500,24.151600,15.459000,-12.528000,12.845000,15.385000,12.340000,19.750000,712.000000,-3326.000000,-49.000000,316.000000,311.000000,897.000000
81,1743685861130660,18.665300,-14.911300,15.341200,18.665300,14.736800,24.906300,16.013000,-12.933000,13.231000,15.948000,12.648000,20.455999,797.000000,-3254.000000,233.000000,447.000000,248.000000,870.000000
82,1743685861136153,19.069799,-15.199400,15.641100,19.069799,15.020100,25.670300,16.136000,-13.046000,13.355000,16.106001,12.933000,21.118999,655.000000,-3033.000000,144.000000,446.000000,220.000000,685.000000
83,1743685861140541,19.474300,-15.487400,15.941100,19.474300,15.303400,26.443300,16.768999,-13.454000,13.829000,16.714001,13.200000,21.791000,596.000000,-2933.000000,-108.000000,257.000000,351.000000,953.000000
84,1743685861146056,19.878700,-15.775500,16.241100,19.878700,15.586700,27.225201,17.146000,-13.739000,14.124000,17.084999,13.454000,22.534000,659.000000,-2751.000000,297.000000,373.000000,371.000000,858.000000
85,1743685861150545,20.283199,-16.063499,16.541000,20.283199,15.870000,28.015400,17.524000,-14.024000,14.411000,17.455000,13.834000,23.499001,624.000000,-2947.000000,137.000000,503.000000,374.000000,918.000000
86,1743685861156107,20.687700,-16.351601,16.841000,20.687700,16.153299,28.813801,17.981001,-14.286000,14.684000,17.865999,13.996000,23.924000,692.000000,-3044.000000,217.000000,520.000000,361.000000,837.000000
87,1743685861160580,21.092199,-16.639700,17.141001,21.092199,16.436701,29.620001,18.403999,-14.556000,14.937000,18.259001,14.359000,24.872999,494.000000,-3002.000000,-87.000000,451.000000,302.000000,758.000000
88,1743685861166197,21.496700,-16.927700,17.440901,21.496700,16.719999,30.433701,18.893000,-14.837000,15.228000,18.641001,14.655000,25.639999,424.000000,-3292.000000,173.000000,387.000000,333.000000,788.000000
89,1743685861170676,21.901199,-17.215799,17.740900,21.901199,17.003300,31.254601,19.124001,-15.093000,15.519000,19.007000,14.955000,26.375999,770.000000,-3301.000000,18.000000,415.000000,286.000000,771.000000
90,1743685861176271,22.305700,-17.503901,18.040899,22.305700,17.286600,32.082298,19.496000,-15.375000,15.812000,19.408001,15.207000,27.125000,672.000000,-3042.000000,-129.000000,250.000000,337.000000,873.000000
91,1743685861180701,22.710199,-17.791901,18.340799,22.710199,17.569901,32.916698,20.054001,-15.781000,16.243999,19.919001,15.477000,27.909000,614.000000,-2845.000000,94.000000,365.000000,413.000000,889.000000
92,1743685861186206,23.114700,-18.080000,18.640800,23.114700,17.853201,33.757198,20.416000,-16.068001,16.514999,20.322001,15.788000,28.659000,533.000000,-3170.000000,15.000000,142.000000,258.000000,796.000000
93,1743685861190629,23.519199,-18.368000,18.940800,23.519199,18.136600,34.603802,20.773001,-16.353001,16.799999,20.731001,15.887000,29.223000,671.000000,-2719.000000,-79.000000,214.000000,402.000000,837.000000
94,1743685861196126,23.923700,-18.656099,19.240700,23.923700,18.419901,35.455898,21.062000,-16.577999,17.018999,21.030001,16.281000,30.326000,471.000000,-3127.000000,195.000000,591.000000,385.000000,673.000000
95,1743685861200549,24.328199,-18.944201,19.540701,24.328199,18.703199,36.313301,21.559999,-16.905001,17.361000,21.487000,16.615999,31.261999,609.000000,-3105.000000,-147.000000,768.000000,308.000000,836.000000
96,1743685861206149,24.732700,-19.232201,19.840700,24.732700,18.986500,37.175800,21.872999,-17.089001,17.589001,21.792000,16.848000,31.912001,632.000000,-3220.000000,285.000000,512.000000,452.000000,965.000000
97,1743685861210665,25.137199,-19.520300,20.140600,25.137199,19.269800,38.042900,22.322001,-17.429001,17.936001,22.277000,17.216000,32.863998,590.000000,-2865.000000,312.000000,555.000000,336.000000,928.000000
98,1743685861216206,25.541700,-19.808399,20.440599,25.541700,19.553101,38.914398,22.872999,-17.656000,18.171000,22.572001,17.458000,33.692001,602.000000,-2671.000000,284.000000,120.000000,341.000000,785.000000
99,1743685861220666,25.946199,-20.096399,20.740601,25.946199,19.836399,39.790001,23.188999,-18.054001,18.552999,23.084999,17.679001,34.252998,741.000000,-2633.000000,315.000000,444.000000,517.000000,955.000000
100,1743685861226295,26.350599,-20.384501,21.040501,26.350599,20.119801,40.669300,23.634001,-18.229000,18.733999,23.320999,17.976000,35.196999,464.000000,-2610.000000,64.000000,288.000000,328.000000,769.000000
101,1743685861230820,26.755100,-20.672501,21.340500,26.755100,20.403099,41.552101,23.634001,-18.229000,18.733999,23.320999,17.976000,35.196999,464.000000,-2610.000000,64.000000,288.000000,328.000000,769.000000
102,1743685861236325,27.159599,-20.960600,21.640499,27.159599,20.686399,42.438000,24.392000,-18.749001,19.296000,24.086000,18.485001,36.875000,631.000000,-3106.000000,-71.000000,460.000000,342.000000,867.000000
103,1743685861240743,27.564100,-21.248699,21.940399,27.564100,20.969700,43.326698,24.799999,-19.195000,19.754000,24.750000,18.683001,37.533001,634.000000,-3123.000000,216.000000,359.000000,457.000000,841.000000
104,1743685861246253,27.968599,-21.536699,22.240400,27.968599,21.253000,44.217899,24.799999,-19.195000,19.754000,24.750000,18.683001,37.533001,634.000000,-3123.000000,216.000000,359.000000,457.000000,841.000000
104,1743685861250677,27.968599,-21.536699,22.240400,27.968599,21.253000,44.217899,25.149000,-19.417999,19.997000,25.003000,19.101000,38.710999,566.000000,-3042.000000,248.000000,482.000000,375.000000,953.000000
105,1743685861256215,28.373100,-21.824800,22.540400,28.373100,21.536301,45.111301,25.690001,-19.805000,20.382999,25.573999,19.388000,39.462002,437.000000,-2604.000000,-68.000000,595.000000,387.000000,693.000000
106,1743685861260704,28.777599,-22.112801,22.840300,28.777599,21.819599,46.006500,25.881001,-19.969999,20.570000,25.756001,19.660000,40.330002,479.000000,-2453.000000,105.000000,230.000000,386.000000,893.000000
107,1743685861266304,29.182100,-22.400900,23.140301,29.182100,22.103001,46.903301,26.382000,-20.343000,20.993000,26.316999,19.933001,41.153000,693.000000,-2905.000000,292.000000,652.000000,311.000000,695.000000
108,1743685861270818,29.586599,-22.688999,23.440300,29.586599,22.386299,47.801399,26.790001,-20.613001,21.278999,26.716999,20.181000,41.973999,695.000000,-2810.000000,-129.000000,470.000000,327.000000,768.000000
109,1743685861276382,29.991100,-22.976999,23.740200,29.991100,22.669600,48.700401,27.250999,-20.945000,21.612000,27.170000,20.452000,42.845001,588.000000,-2776.000000,315.000000,407.000000,421.000000,821.000000
110,1743685861280865,30.395599,-23.265100,24.040199,30.395599,22.952900,49.600101,27.391001,-21.062000,21.732000,27.334999,20.777000,43.894001,647.000000,-2892.000000,286.000000,437.000000,391.000000,757.000000
111,1743685861285381,30.800100,-23.553200,24.340200,30.800100,23.236200,50.500000,27.987000,-21.507999,22.167000,27.934999,20.981001,44.456001,738.000000,-3023.000000,254.000000,305.000000,366.000000,809.000000
112,1743685861290872,31.204599,-23.841200,24.640100,31.204599,23.519501,51.400002,28.351000,-21.798000,22.457001,28.332001,21.329000,45.528000,460.000000,-2715.000000,272.000000,358.000000,320.000000,702.000000
113,1743685861296387,31.609100,-24.129299,24.940100,31.609100,23.802799,52.299999,28.813999,-22.084999,22.788000,28.732000,21.632000,46.332001,796.000000,-3061.000000,259.000000,419.000000,359.000000,774.000000
114,1743685861300790,32.013599,-24.417299,25.240101,32.013599,24.086201,53.200001,29.091000,-22.283001,22.971001,28.975000,21.993999,47.394001,557.000000,-3049.000000,201.000000,441.000000,256.000000,868.000000
115,1743685861306270,32.418098,-24.705400,25.540001,32.418098,24.369499,54.099998,29.531000,-22.615999,23.358000,29.495001,22.115999,47.861000,396.000000,-2700.000000,-224.000000,539.000000,276.000000,834.000000
116,1743685861310681,32.822498,-24.993500,25.840000,32.822498,24.652800,55.000000,30.000000,-22.983000,23.688999,29.987000,22.489000,49.136002,535.000000,-2802.000000,327.000000,712.000000,450.000000,776.000000
117,1743685861316155,33.227001,-25.281500,26.139999,33.227001,24.936100,55.900002,30.301001,-23.177999,23.885000,30.235001,22.799999,50.181000,590.000000,-2924.000000,206.000000,387.000000,322.000000,650.000000
